"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"230.","1569","Јагодина","Поморавски управни округ","Ћуприја","Ћуприја","Гимназија","Карађорђева 57","35230","gimnazijacuprija@yahoo.com","(035)8476535","https://www.gimnazija.cuprija.edu.rs","7166877","101527685","1991-06-04","Гимназије","Државно","12","0","0","328","193","1","1","0","37","22.160000","48","33.410000"
"231.","1570","Јагодина","Поморавски управни округ","Ћуприја","Ћуприја","Медицинска школа","Рада Кончара 3","35230","medicinskacuprija@mts.rs","(035)8470030","http://www.medicinskaskolacuprija.edu.rs","7166940","101373835","1958-09-09","Средње стручне школе","Државно","16","0","0","513","365","0","1","0","71","45.524000","84","58.944000"
"232.","1571","Јагодина","Поморавски управни округ","Ћуприја","Ћуприја","Техничка школа","Кнеза Милоша бб","35230","tehnickaskola035@gmail.com","358471772","http://tehnickaskolacuprija.edu.rs","7166907","101369453","1992-08-03","Средње стручне школе","Државно","12","1","0","284","87","1","0","0","44","25.860000","53","36.270000"
"233.","1573","Пожаревац","Браничевски управни округ","Велико Градиште","Велико Градиште","Средња школа Милоје Васић","Житни трг 4","12220","direktor@ssvg.edu.rs","(012)663131","http://www.ssvg.edu.rs","7159226","101364834","1990-11-26","Средње стручне школе","Државно","19","3","0","410","223","0","0","0","45","32.826700","57","47.326700"
"234.","1574","Пожаревац","Браничевски управни округ","Кучево","Кучево","Економско-трговинска и машинска школа","Жике Поповића 68","12240","sskolak@gmail.com","(012)851749","http://srednjaskolakucevo.rs","7164050","101279319","1929-10-07","Средње стручне школе","Државно","11","3","0","226","124","2","3","0","33","22.273300","41","32.070000"
"235.","1575","Пожаревац","Браничевски управни округ","Петровац на Млави","Петровац на Млави","Средња школа Младост","Млавска 14","12300","gimnazijamladost@mts.rs","(012)331129","http://www.mladost.rs","7161719","101584579","1961-06-06","Средње стручне школе","Државно","19","0","0","468","266","0","2","0","44","35.017900","56","49.512400"
"236.","1576","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Пожаревачка гимназија","Симе Симића 1","12000","pogimnazija@gmail.com","(012)222570","http://www.pozarevackagimnazija.edu.rs","7161255","101972522","1862-09-24","Гимназије","Државно","24","0","0","721","426","0","0","0","56","44.540000","71","61.040000"
"237.","1577","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Економско-трговинска школа","Јована Шербановића 6","12000","etskola@open.telekom.rs","(012)223389","http://ekonomskapo.edu.rs","7161689","101523392","1850-05-23","Средње стручне школе","Државно","29","0","0","815","498","0","1","0","68","50.580000","85","69.080000"
"238.","1578","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Медицинска школа","Лоле Рибара 6-8","12000","medicinskapo@gmail.com","(012)541625","http://www.medicinskapozarevac.edu.rs","7161409","101972619","1947-05-12","Средње стручне школе","Државно","16","0","0","485","388","0","1","0","72","42.791300","85","56.791300"
"239.","1579","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Пољопривредна школа са домом ученика Соња Маринковић","Илије Бирчанина 70","12000","poljsk@mts.rs","(012)223388","http://www.poljsk.edu.rs","7160631","101973079","1872-10-10","Средње стручне школе","Државно","18","5","0","396","197","0","4","0","56","45.350000","114","105.090000"
"240.","1580","Пожаревац","Браничевски управни округ","Костолац","Костолац","Техничка школа са домом ученика Никола Тесла","Боже Димитријевића бб","12208","tskodirektor@hotmail.com","(012)241841","http://www.tehnickakostolac.edu.rs","7160542","101522031","","Средње стручне школе","Државно","32","2","0","763","137","0","3","0","78","65.555000","113","106.655000"
"241.","1581","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Политехничка школа","Јована Шербановића 5","12000","politehnickas@ptt.rs","(012)513595","http://www.politehnicka.edu.rs","7577656","101522672","1990-10-05","Средње стручне школе","Државно","17","3","0","482","107","1","1","0","47","36.250000","58","48.400000"
"242.","1583","Пожаревац","Браничевски управни округ","Жагубица","Жагубица","Техничка школа","Хомољска бб","12320","tszagubica@ptt.rs","643232","http://www.tszagubica.edu.rs","17113011","101579879","1978-10-28","Средње стручне школе","Државно","11","0","0","187","86","0","0","0","26","18.769600","34","26.769600"
"243.","1584","Пожаревац","Подунавски управни округ","Смедеревска Паланка","Смедеревска Паланка","Паланачка гимназија","Вука Караџића 18","11420","gimnazija@mts.rs","(026)310631","http://www.palanackagimnazija.edu.rs","7142811","101386647","1919-10-30","Гимназије","Државно","19","0","0","509","303","0","0","0","46","34.143300","58","48.126600"
"244.","1585","Пожаревац","Подунавски управни округ","Смедеревска Паланка","Смедеревска Паланка","Машинско-електротехничка школа Гоша","Индустријска 66","11420","skolagosa@mts.rs","(026)317310","http://www.skolagosa.edu.rs","7160895","101930265","1966-01-25","Средње стручне школе","Државно","19","0","0","499","65","0","0","0","55","44.853300","71","60.603300"
"245.","1586","Пожаревац","Подунавски управни округ","Смедеревска Паланка","Смедеревска Паланка","Средња школа Жикица Дамњановић","Главашева 81","11420","sszdam@verat.net","(026)310839","http://zikicadamnjanovic.edu.rs","7142862","101930257","1968-11-11","Средње стручне школе","Државно","20","5","0","464","340","1","2","0","86","54.252700","100","69.752700"
"246.","1587","Пожаревац","Подунавски управни округ","Велика Плана","Велика Плана","Гимназија Велика Плана","Војводе Мишића 3","11320","gimplana@verat.net","(026)514269","http://www.gimnazija-velikaplana.edu.rs","7164173","101174589","1990-12-31","Гимназије","Државно","12","0","0","276","178","0","0","0","33","21.980000","42","31.980000"
"247.","1588","Пожаревац","Подунавски управни округ","Велика Плана","Велика Плана","Економско-угоститељска школа Вук Караџић","Момира Гајића 12","11320","eusvukvp@gmail.com","(026)514232","http://www.eus.edu.rs","7353090","101174564","1991-01-01","Средње стручне школе","Државно","18","3","0","486","292","0","7","0","56","40.650000","69","52.800000"
"248.","1589","Пожаревац","Подунавски управни округ","Велика Плана","Велика Плана","Техничка школа Никола Тесла","Војводе Мишића 3","11320","skolant@mts.rs","(026)514369","http://tsvelikaplana.edu.rs","7353081","101174572","1990-12-31","Средње стручне школе","Државно","17","3","0","407","94","8","15","0","52","35.680000","65","48.730000"
"249.","1590","Пожаревац","Подунавски управни округ","Смедерево - град","Смедерево","Гимназија","Слободе 3","11300","gimnazijasd@ptt.rs","(026)617383","http://www.gimnazijasd.edu.rs","7198574","100969259","","Гимназије","Државно","30","0","0","722","488","0","1","0","67","54.840000","85","71.740000"
"250.","1591","Пожаревац","Подунавски управни округ","Смедерево - град","Смедерево","Економско-трговинска школа","16 октобар бб 156","11300","ssekotrgsme1@mts.rs","(026)641360","http://www.etssd.edu.rs","7352948","100490031","1960-05-23","Средње стручне школе","Државно","35","3","0","979","620","0","12","0","93","81.907900","122","109.677900"
"251.","1592","Пожаревац","Подунавски управни округ","Смедерево - град","Смедерево","Техничка школа","Вука Караџића 13","11300","tehnickaskolasd1@mts.rs","(026)617388","http://tehnickasd.edu.rs","7163908","100359516","","Средње стручне школе","Државно","51","6","4","1263","246","0","27","0","135","122.890000","174","165.590000"
"252.","1593","Пожаревац","Подунавски управни округ","Смедерево - град","Смедерево","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Црвене армије 156","11300","skola@despot.edu.rs","(026)640930","http://www.despot.edu.rs","7352956","101925707","1991-06-24","Средње стручне школе","Државно","26","2","0","621","366","8","9","0","77","63.810000","108","94.100000"
"253.","1595","Ужице","Златиборски управни округ","Ариље","Ариље","Средња школа Свети Ахилије","Војводе Мишића 40","31230","sssahilije@ptt.rs","(031)3891427","http://sssvetiahilije.nasaskola.rs","7250819","100493968","1977-11-01","Средње стручне школе","Државно","19","3","0","448","223","1","3","0","52","39.558200","63","51.058200"
"254.","1596","Ужице","Златиборски управни округ","Бајина Башта","Бајина Башта","Гимназија Јосиф Панчић","Вука Караџића 32","31250","gjosifpancic@mts.rs","(031)865665","http://gimnazijabb.edu.rs","7221258","101000413","1965-09-01","Гимназије","Државно","12","0","0","351","201","0","0","0","36","23.065800","47","33.465800"
"255.","1597","Ужице","Златиборски управни округ","Бајина Башта","Бајина Башта","Техничка школа","Вука Караџића 32","31250","sstehskobab1@ptt.rs","(031)863265","http://www.tehnickaskolabb.edu.rs","7570678","101001230","1990-10-01","Средње стручне школе","Државно","17","4","0","428","163","0","1","0","53","37.526200","68","52.597300"
"256.","1598","Ужице","Златиборски управни округ","Косјерић","Косјерић (варош)","Техничка школа","Светосавска 39","31260","sstehskokos2@ptt.rs","(031)781645","http://www.tehnickaskolakosjeric.edu.rs","17049372","101088214","1996-03-01","Средње стручне школе","Државно","9","0","0","231","106","0","3","0","29","16.918600","38","25.418600"
"257.","1601","Ужице","Златиборски управни округ","Пожега","Пожега","Гимназија Свети Сава","Вука Караџића 6","31210","skola@gimnazijapozega.edu.rs","(031)811460","http://www.gimnazijapozega.edu.rs","7572913","100863808","1990-09-25","Гимназије","Државно","16","0","0","443","274","3","0","0","41","30.730000","49","40.730000"
"258.","1602","Ужице","Златиборски управни округ","Пожега","Висибаба","Пољопривредна школа са домом ученика Љубо Мићић","Болничка 2","31210","ssljumicpoz1@ptt.rs","(031)811131","http://poljoprivrednapozega.edu.rs","07112807","100860316","2016-08-29","Средње стручне школе","Државно","16","5","0","345","123","4","4","0","48","41.227000","85","82.227000"
"259.","1603","Ужице","Златиборски управни округ","Пожега","Пожега","Техничка школа","Вука Караџића 6","31210","tehnickaskolapozega@gmail.com","(031)714134","http://tehnickaskolapozega.edu.rs","7266642","100863267","1993-01-25","Средње стручне школе","Државно","20","1","0","494","156","1","2","0","59","44.670000","71","59.170000"
"260.","1604","Ужице","Златиборски управни округ","Прибој","Прибој","Гимназија Прибој","Немањина 37","31330","gimpriboj1@ptt.rs","332445180","http://","7111347","101207756","1971-05-11","Гимназије","Државно","12","0","0","338","205","0","0","0","35","21.824400","47","33.517700"
"261.","1605","Ужице","Златиборски управни округ","Прибој","Прибој","Машинско-електротехничка школа","Вука Караџића 5","31330","metpb@ptt.rs","(033)2452536","http://metpb.edu.rs","7351909","101205700","1986-06-27","Средње стручне школе","Државно","15","2","0","391","168","0","1","0","49","33.690000","62","48.156500"
"262.","1606","Ужице","Златиборски управни округ","Пријепоље","Пријепоље","Пријепољска гимназија","4. децембра 3","31300","prijepoljskag@mts.rs","33710026","http://www.prijepoljskagimnazija.edu.rs","7341423","100808395","1913-11-20","Гимназије","Државно","13","0","0","332","190","0","0","0","36","23.955600","49","38.655600"
"263.","1607","Ужице","Златиборски управни округ","Пријепоље","Пријепоље","Економско-трговинска школа","4. децембра 3","31300","ekon.skola1prijepolje@hotmail.com","(033)710018","http://www.etsprijepolje.rs","7575122","102216097","1990-09-01","Средње стручне школе","Државно","15","3","0","433","253","1","2","0","44","32.260800","61","47.760800"
"264.","1608","Ужице","Златиборски управни округ","Пријепоље","Пријепоље","Техничка школа","4. децембра 3","31300","tsprijepolje@eunet.rs","(033)710039","http://tsprijepolje.edu.rs","7341415","100808400","1918-09-02","Средње стручне школе","Државно","14","3","0","324","85","0","1","0","42","31.572100","57","48.072100"
"265.","1609","Ужице","Златиборски управни округ","Сјеница","Сјеница","Гимназија Јездимир Ловић","Саве Ковачевића 15","36310","gimnazijasjenica@yahoo.com","(020)741053","http://www.gimnazija-sjenica.info","7192100","100947750","1987-03-27","Гимназије","Државно","16","0","0","424","265","0","0","0","42","30.490000","52","41.990000"
"266.","1610","Ужице","Златиборски управни округ","Сјеница","Сјеница","Техничко-пољопривредна школа","Саве Ковачевића 15","36310","direktor.tpss@gmail.com","(062)8863361","http://tpssjenica.com","7352107","100947741","1976-08-01","Средње стручне школе","Државно","21","5","0","565","195","0","0","0","79","54.510000","99","74.610000"
"267.","1611","Ужице","Златиборски управни округ","Ужице - град","Ужице","Ужичка гимназија","Трг Светог Саве 6","31000","uzickagimnazija@ptt.rs","(031)513140","http://www.uzickagimnazija.edu.rs","7279329","101624008","2003-03-03","Гимназије","Државно","28","0","0","830","519","0","0","0","62","49.938700","78","64.938700"
"268.","1612","Ужице","Златиборски управни округ","Ужице - град","Ужице","Економска школа","Трг Светог Саве 6","31000","direktor@eksue.edu.rs","(031)510506","http://www.eksue.edu.rs","7279345","101945421","1992-10-06","Средње стручне школе","Државно","24","0","0","689","467","3","1","0","65","47.885500","83","64.885500"
"269.","1613","Ужице","Златиборски управни округ","Ужице - град","Ужице","Медицинска школа","Немањина 148","31000","ssmedskouzi1@gmail.com","(031)3512694","http://www.medicinskaskolauzice.edu.rs","7579403","100600957","1990-09-01","Средње стручне школе","Државно","24","0","0","729","591","0","0","0","85","62.820000","106","87.070000"
"270.","1614","Ужице","Златиборски управни округ","Ужице - град","Ужице","Техничка школа Радоје Љубичић","Николе Пашића 17","31000","tgsf@mts.rs","(031)514272","http://www.tsradojeljubicicue.edu.rs","7156634","101545687","1991-10-02","Средње стручне школе","Државно","25","3","3","558","231","2","14","0","68","56.050200","85","75.550200"
"271.","1615","Ужице","Златиборски управни округ","Ужице - град","Ужице","Техничка школа","Трг Светог Саве 34","31000","tehnickaue@mts.rs","(031)512596","http://www.tehnickaue.edu.rs","7156758","101503670","1990-09-10","Средње стручне школе","Државно","34","1","2","904","140","3","13","4","99","82.134200","119","106.574200"
"272.","1616","Ужице","Златиборски управни округ","Чајетина","Чајетина","Угоститељско-туристичка школа","Сердара Мићића 5","31310","srednaskolcaj@ptt.rs","(031)3831184","http://srednjaskolacajetina.edu.rs","7282923","101072041","1984-09-10","Средње стручне школе","Државно","14","1","0","353","190","1","1","0","36","29.815700","46","41.115700"
"273.","1617","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Ваљевска гимназија","Вука Караџића 3","14000","gimvaljevo@gmail.com","(014)221622","http://valjevskagimnazija.edu.rs","7098286","100078799","1870-11-23","Гимназије","Државно","30","0","0","767","470","0","0","0","83","60.172200","99","78.572200"
"274.","1618","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Економска школа Ваљево","Даничићева 1","14000","ekonomska.valjevo@gmail.com","(014)221462","http://ekova.edu.rs","7096887","101898865","1939-05-16","Средње стручне школе","Државно","34","5","0","856","516","0","4","0","89","67.230000","116","95.880000"
"275.","1619","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Медицинска школа Др Миша Пантић","Карађорђева 118","14000","medicinskavaljevo@gmail.com","(014)221265","http://www.medicinskaskolavaljevo.edu.rs","7096771","100067835","1958-07-17","Средње стручне школе","Државно","23","2","0","667","514","0","3","0","86","60.146300","101","75.506100"
"276.","1620","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Техничка школа","Косте Абрашевића 2","14000","tehnskola@sbb.rs","(014)222098","http://tehnciskaskolava.rs","7097000","100075878","1939-10-05","Средње стручне школе","Државно","33","4","0","948","215","5","3","1","90","75.850000","115","104.850000"
"277.","1621","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Пољопривредна школа са домом ученика Ваљево","Владике Николаја 54","14000","poljskolava@mts.rs","(014)221557","http://www.poljoprivrednaskola.edu.rs","7096933","101499305","1921-11-25","Средње стручне школе","Државно","24","3","0","668","307","0","7","0","63","52.500000","110","100.500000"
"278.","1623","Ваљево","Колубарски управни округ","Лајковац","Лајковац (варош)","Средња школа 17. септембар","Вука Караџића 19","14224","skolala@ptt.rs","(014)3431145","http://www.tehnika.edu.rs","7283911","101344404","1979-04-26","Средње стручне школе","Државно","15","3","0","397","146","0","0","0","44","32.380000","61","49.880000"
"279.","1624","Ваљево","Колубарски управни округ","Љиг","Љиг","Средња школа 1300 каплара - Љиг","Војводе Мишића 26","14240","skola1300kaplaraljig@gmail.com","143445173","http://1300kaplaraljig.edu.rs","7099355","101287183","1963-05-07","Средње стручне школе","Државно","12","4","0","284","167","5","0","0","34","24.430000","42","33.930000"
"280.","1625","Ваљево","Колубарски управни округ","Уб","Уб","Гимназија Бранислав Петронијевић","Вука Караџића 15","14210","gimbpetronijevic@gmail.com","(014)414492","http://www.gimnazijaub.rs","7593040","101351121","1990-09-01","Гимназије","Државно","8","0","0","191","125","0","0","0","23","14.060000","31","20.560000"
"281.","1626","Ваљево","Мачвански управни округ","Лозница - град","Лозница","Гимназија Вук Караџић","Гимназијска 5","15300","gimnazijavuk@mts.rs","(015)878635","http://loznickagimnazija.edu.rs","7171447","101561959","1871-08-16","Гимназије","Државно","25","0","0","700","437","0","1","0","59","46.052200","76","61.552200"
"282.","1627","Ваљево","Мачвански управни округ","Лозница - град","Лозница","Средња економска школа","трг Јована Цвијића 4","15300","esloznica1955@gmail.com","(015)876055","http://www.esloznica.rs","7168357","101189955","1993-01-13","Средње стручне школе","Државно","33","4","1","910","557","1","5","1","96","68.900000","115","91.730000"
"283.","1628","Ваљево","Мачвански управни округ","Лозница - град","Лозница","Техничка школа","Tрг Јована Цвијића 3","15300","tehnicka@ptt.rs","(015)876016","http://www.tehnickalo.edu.rs","7120443","101190557","2003-03-21","Средње стручне школе","Државно","28","12","0","789","58","1","1","0","72","57.250000","89","75.750000"
"284.","1629","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Хемијско-технолошка школа","Ћирила и Методија бб","37000","htsks@ptt.rs","(037)439741","http://htsks.rs","7354525","100481238","1990-09-22","Средње стручне школе","Државно","36","2","0","833","469","5","13","0","105","86.449100","131","112.449100"
"285.","1630","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Прва техничка школа","Ћирила и Методија 26","37000","mesmesks@gmail.com","(037)448810","http://prva-tehnicka.edu.rs","7352719","100471507","","Средње стручне школе","Државно","40","5","0","1097","118","0","8","0","110","92.170000","135","121.170000"
"286.","1632","Крушевац","Расински управни округ","Трстеник","Трстеник","Гимназија Вук Караџић","Вука Караџића 11","37240","gimvkts@mts.rs","(037)711844","http://vukts.edu.rs","7352581","101308642","1990-06-05","Гимназије","Државно","16","0","0","400","232","0","0","0","43","28.922100","51","38.912100"
"287.","1633","Крушевац","Расински управни округ","Трстеник","Трстеник","Техничка школа","Вука Караџића 11","37240","tehnickats@gmail.com","(037)711842","http://www.tehnickats.edu.rs","7352590","101306430","1990-06-05","Средње стручне школе","Државно","28","3","0","710","200","5","3","0","75","63.140000","96","83.890000"
"288.","1634","Крушевац","Расински управни округ","Варварин","Варварин","Средња школа","Светог Саве 6","37260","sskolavarvarin@gmail.com","(037)788369","http://ssv.edu.rs","7175671","101144391","1965-09-01","Средње стручне школе","Државно","18","2","0","401","198","4","9","0","49","35.142000","61","49.142000"
"289.","1635","Чачак","Моравички управни округ","Горњи Милановац","Горњи Милановац","Гимназија Таковски устанак","Милоша Великог 11","32300","gimnazgm@eunet.rs","(032)711180","http://www.gimnazijagm.edu.rs","7177941","102291724","1962-03-20","Гимназије","Државно","16","0","0","446","275","0","1","0","39","29.010000","50","41.010000"
"290.","1636","Чачак","Моравички управни округ","Горњи Милановац","Горњи Милановац","Економско-трговачка школа Књаз Милош","Вука Караџића 1","32300","etsgm.knjazmilos@mts.rs","(032)713322","http://etsgm.edu.rs","7578130","102193353","1990-06-01","Средње стручне школе","Државно","15","0","0","386","255","0","3","0","43","30.390000","52","40.890000"
"291.","1637","Чачак","Моравички управни округ","Горњи Милановац","Горњи Милановац","Техничка школа Јован Жујовић","Вука Караџића 3","32300","tehgmil@mts.rs","(032)713320","http://www.tehnickagm.edu.rs","7177135","102156726","1961-05-15","Средње стручне школе","Државно","16","3","0","392","80","0","3","0","49","34.190000","67","54.040000"
"292.","1638","Чачак","Моравички управни округ","Чачак - град","Чачак","Гимназија","Жупана Страцимира 1","32000","nenatolic@gmail.com","(032)322397","http://www.gimnazija-cacak.edu.rs","7182074","101551804","1837-10-01","Гимназије","Државно","38","0","0","1142","693","0","0","0","84","69.090000","107","93.590000"
"293.","1639","Чачак","Моравички управни округ","Чачак - град","Чачак","Економска школа","Господар Јованова 1","32000","direktor@ekonomska-cacak.edu.rs","(032)322345","http://www.ekonomska-cacak.edu.rs","7182848","100897710","1948-08-17","Средње стручне школе","Државно","28","0","0","799","548","0","3","0","73","59.820000","87","76.320000"
"294.","1640","Чачак","Моравички управни округ","Чачак - град","Чачак","Медицинска школа","Епископа Никифора Максимовића 8","32100","medicinskaskola@mts.rs","(032)347775","http://www.medicinska-cacak.edu.rs","7182783","101110648","1958-06-12","Средње стручне школе","Државно","20","0","0","616","510","0","0","0","84","52.700000","97","68.100000"
"295.","1641","Чачак","Моравички управни округ","Чачак - град","Чачак","Техничка школа","Цара Душана 20","32000","tehdir@tehnickacacak.edu.rs","(032)322229","http://www.tehnickacacak.edu.rs","7182694","100892011","1960-06-28","Средње стручне школе","Државно","31","3","0","820","148","0","2","0","76","67.305600","97","89.305600"
"296.","1642","Чачак","Моравички управни округ","Чачак - град","Чачак","Машинско-саобраћајна школа","др Драгише Мишовића 146","32100","info@mssca.edu.rs","(032)372560","http://www.mssca.edu.rs","7182139","101108436","1965-12-30","Средње стручне школе","Државно","40","9","0","999","222","0","2","0","110","95.190000","136","124.110000"
"297.","1643","Чачак","Моравички управни округ","Ивањица","Ивањица","Гимназија","13. Септембар 58","32250","ivanjickagimnazija@mts.rs","32664646","http://www.gimnazija-ivanjica.edu.rs","7249195","100933905","1964-10-19","Гимназије","Државно","16","0","0","466","288","0","0","0","52","30.181100","67","46.981100"
"298.","1644","Чачак","Моравички управни округ","Ивањица","Ивањица","Техничка школа","Мићe Матовића 2","32250","tskoliva@eunet.rs","(032)661000","http://tehnickaskola.rs","7339518","100931022","1985-07-02","Средње стручне школе","Државно","19","4","0","456","176","0","3","0","52","41.077400","63","55.577400"
"299.","1645","Чачак","Моравички управни округ","Лучани","Гуча (варошица)","Средња школа Драгачево","Републике бб","32230","direktorskoladragacevo@gmail.com","(032)855554","http://skoladragacevo.edu.rs","7261322","101265575","1958-10-29","Средње стручне школе","Државно","16","0","0","387","185","1","4","0","46","35.680000","65","56.680000"
"300.","1646","Краљево","Рашки управни округ","Краљево - град","Краљево","Гимназија","Доситејева 44","36000","gimnazija.kraljevo@gmail.com","(036)319760","http://www.gimnazijakraljevo.com","7102453","100242078","1909-07-16","Гимназије","Државно","37","0","0","951","605","0","0","0","102","76.725000","120","97.125000"
"301.","1647","Краљево","Рашки управни округ","Краљево - град","Краљево","Економско-трговинска школа","Доситејева 46.","36100","ekonomskotrgovackakv@mts.rs","(036)382047","http://www.ets-kraljevo.edu.rs","7353928","100240371","1956-03-01","Средње стручне школе","Државно","19","0","0","571","335","0","3","0","50","39.124400","64","54.124400"
"302.","1648","Краљево","Рашки управни округ","Краљево - град","Краљево","Медицинска школа","Доситејева 46 г","36000","infomskv@tron.rs","(036)382548","http://www.medinkv.edu.rs","7588488","101256507","1958-09-25","Средње стручне школе","Државно","20","0","0","627","493","0","0","0","79","54.173100","95","70.783100"
"303.","1649","Краљево","Рашки управни округ","Краљево - град","Краљево","Машинска техничка школа 14. октобар","Индустријска 21","36000","mtskv@mts.rs","(036)312433","http://www.mtskv.edu.rs","7237685","100241235","1961-07-28","Средње стручне школе","Државно","23","3","0","573","105","0","6","0","72","53.000000","92","74.320000"
"304.","1650","Краљево","Рашки управни округ","Краљево - град","Краљево","Електро-саобраћајна техничка школа Никола Тесла","Доситејева 44б","36000","estsnikolatesla@mts.rs","(036)312601","http://www.estsnikolatesla.edu.rs","7607202","101775518","1991-01-01","Средње стручне школе","Државно","26","3","0","726","119","0","0","0","74","57.110000","90","74.950000"
"305.","1651","Краљево","Рашки управни округ","Краљево - град","Краљево","Пољопривредно-хемијска школа Др Ђорђе Радић","Миомира Бркушанца Мишкa 2л","36100","ratarica.direktor@gmail.com","(036)359970","http://ratarica.edu.rs","7101007","100239919","1882-06-28","Средње стручне школе","Државно","26","3","0","695","401","0","12","0","79","61.090000","105","89.740000"
"306.","1652","Краљево","Рашки управни округ","Краљево - град","Краљево","Шумарска школа","Карађорђева 262","36100","sumarska@gmail.com","(036)352235","http://www.sumarska.edu.rs","7100957","101071637","1899-10-20","Средње стручне школе","Државно","24","0","0","547","137","0","1","0","75","56.155100","92","73.774800"
"307.","1654","Краљево","Рашки управни округ","Врњачка Бања","Врњачка Бања","Гимназија","Хероја Чајке 18","36210","gimnazija.vrnjackabanja@gmail.com","(036)611379","http://www.gvb.edu.rs","6876170","100915957","1993-07-28","Гимназије","Државно","16","0","0","370","222","0","1","0","38","28.495600","49","40.695600"
"308.","1655","Краљево","Рашки управни округ","Врњачка Бања","Врњачка Бања","Угоститељско-туристичка школа са домом ученика","Хероја Чајке 18","36210","ugostturskola@ptt.rs","(036)611379","http://www.uts.edu.rs","7176376","100920813","1993-07-28","Средње стручне школе","Државно","27","0","0","752","366","0","3","0","72","59.630000","120","110.730000"
"309.","1656","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Гимназија","Вука Караџића 7","36300","gimnazijanp@yahoo.com","(020)331470","http://gimnazijanp.edu.rs","7195168","101785294","1913-11-20","Гимназије","Државно","41","0","0","1224","726","0","0","0","88","75.594400","111","99.724400"
"310.","1657","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Економско-трговинска школа","28. Новембра 163","36300","nsekonom@gmail.com","(020)323770","http://ekonomskanovipazar.edu.rs","7192002","101784322","1955-05-20","Средње стручне школе","Државно","40","3","0","1194","679","0","0","0","102","87.610000","130","114.610000"
"311.","1658","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Школа за дизајн текстила и коже","Вука Караџића бб","36300","skolazadizajnnp@yahoo.com","(020)312799","http://www.skolazadizajn.edu.rs","7356404","101795281","2006-05-15","Средње стручне школе","Државно","30","0","3","621","324","7","10","0","91","74.920000","111","94.920000"
"312.","1659","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Техничка школа","Вука Караџића бб","36300","tehnickanp1@mts.rs","311945","http://tehnickanp.edu.rs","7356374","101785114","1993-04-05","Средње стручне школе","Државно","41","0","0","972","92","2","4","0","111","90.901100","132","113.601100"
"313.","1660","Краљево","Рашки управни округ","Рашка","Рашка","Гимназија","Милуна Ивановића 2","36350","direktor@gimnazijaraska.edu.rs","(036)736043","http://gimnazijaraska.edu.rs","7637063","101273406","1991-04-08","Гимназије","Државно","16","0","0","367","208","0","0","0","51","28.416500","61","38.880500"
"314.","1661","Краљево","Рашки управни округ","Рашка","Рашка","Средња школа Краљица Јелена","Омладинска 2","36350","masinska.ras@gmail.com","(036)738210","http://www.sskraljicajelena.edu.rs","7276966","101609126","1991-04-08","Средње стручне школе","Државно","18","0","2","357","163","0","12","0","48","31.535600","63","45.995600"
"315.","1662","Краљево","Рашки управни округ","Тутин","Тутин","Гимназија","7. јула 18","36320","gimnazijatutin@gmail.com","(020)811148","http://gimnazijatutin.rs","7175841","102021431","1994-03-11","Гимназије","Државно","19","0","0","527","286","0","0","0","52","37.843800","70","50.343800"
"316.","1663","Краљево","Рашки управни округ","Тутин","Тутин","Техничка школа","7. јули 18","36320","tehtutin1@gmail.com","(020)811160","http://www.tehtutin.edu.rs","7350767","102021423","1988-01-01","Средње стручне школе","Државно","31","3","0","625","174","2","0","0","83","62.238700","107","82.138800"
"317.","1664","Зајечар","Борски управни округ","Бор","Бор","Гимназија Бора Станковић","Зелени булевар 26","19210","gimnazijabor@mts.rs","(030)432271","http://gimnazija-bor.edu.rs","7414269","100628026","1990-06-05","Гимназије","Државно","12","0","0","303","213","0","0","0","29","21.299700","40","32.799700"
