"#","ИД установе","Универзитет","Назив установе","Тип установе","ИД програма","Назив програма","Звање","Поље","Ниво","Школарина за домаће студенте","Школарина за стране студенте","Број ЕСПБ бодова","Број решења акредитације","Датум решења акредитације","Акредитациона квота","Број буџетских студената - прва година","Број буџетских студената - друга година","Број буџетских студената - трећа година","Број буџетских студената - четврта година","Број буџетских студената - пета година","Број буџетских студената - шеста година","Број самофинансирајући студената - прва година","Број самофинансирајући студената - друга година","Број самофинансирајући студената - трећа година","Број самофинансирајући студената - четврта година","Број самофинансирајући студената - пета година","Број самофинансирајући студената - шеста година","Број страних студената - прва година","Број страних студената - друга година","Број страних студената - трећа година","Број страних студената - четврта година","Број страних студената - пета година","Број страних студената - шеста година","Број свршених студената током претходне школске године","Број пријављених кандидата на упису у наредну школску годину - I рок","Број пријављених кандидата на упису у наредну школску годину - II рок"
"751.","33","Универзитет у Крагујевцу","Агрономски факултет, Чачак","Државни факултет","858","ОАС Воћарство и виноградарство","Дипломирани инжењер пољопривреде","Техничко-технолошке науке","Основне академске","39000","1000","240","612-00-01227/2013-04","2013-08-30","20","12","4","10","4","14","","10","2","0","6","","","0","0","0","0","0","","6","10","2"
"752.","41","Универзитет у Крагујевцу","Факултет педагошких наука, Јагодина","Државни факултет","1887","Образовање професора предметне наставе","Мастер предметне наставе","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","78000","2000","60","612-00-02230/2014-04","2015-03-16","50","0","","","","","","12","","","","","","","","","","","","2","8","6"
"753.","33","Универзитет у Крагујевцу","Агрономски факултет, Чачак","Државни факултет","860","ОАС Зоотехника","Инжењер пољопривреде","Техничко-технолошке науке","Основне академске","39000","1000","180","612-00-01227/2013-04","2013-08-30","20","5","7","3","5","","","1","0","2","","","","0","0","","","","","3","4","1"
"754.","50","Универзитет у Нишу","Факултет спорта и физичког васпитања","Државни факултет","861","Мастер академске студије","Мастер професор физичког васпитања и кинезитерапије","Друштвено-хуманистичке науке","Мастер академске","110000","1500","60","612/00/00074/2014/04","2014-06-20","150","25","","","","","","101","","","","","","","","","","","","55","47","0"
"755.","33","Универзитет у Крагујевцу","Агрономски факултет, Чачак","Државни факултет","862","МАС Агрономија","Мастер инжењер пољопривреде","Техничко-технолошке науке","Мастер академске","48000","1500","60","612-00-00204/2015-04","2015-03-06","32","11","","","","","","9","","","","","","","","","","","","18","23","0"
"756.","33","Универзитет у Крагујевцу","Агрономски факултет, Чачак","Државни факултет","863","МАС Прехрамбена технологија","Мастер инжењер технологије","Техничко-технолошке науке","Мастер академске","48000","1500","60","612-00-00204/2015-04","2015-03-06","16","4","","","","","","0","","","","","","","","","","","","3","5","0"
"757.","50","Универзитет у Нишу","Факултет спорта и физичког васпитања","Државни факултет","864","Основне академске студије","Дипломирани професор физичког васпитања и спорта (биомедицинске науке)","Друштвено-хуманистичке науке","Основне академске","100000","2500","240","612/00/00074/2014/04","2014-06-20","195","142","168","168","216","","","59","24","18","116","","","","","","","","","121","169","0"
"758.","33","Универзитет у Крагујевцу","Агрономски факултет, Чачак","Државни факултет","865","ДС Агрономија","Доктор наука биотехничке науке","Техничко-технолошке науке","Докторске академске","100000","1500","180","612-00-01227/2013-04","2013-08-30","12","3","0","2","","","","1","1","0","","","","","","","","","","2","2","1"
"759.","50","Универзитет у Нишу","Факултет спорта и физичког васпитања","Државни факултет","867","Специјалистичке студије,спорт","Специјалиста тренер","Друштвено-хуманистичке науке","Спец. струковне","110000","1500","60","612/00/00074/2014/04","2014-06-20","25","","","","","","","1","","","","","","","","","","","","1","2","0"
"760.","50","Универзитет у Нишу","Факултет спорта и физичког васпитања","Државни факултет","868","основне струковне студије,спорт","Тренер","Друштвено-хуманистичке науке","Основне струковне","100000","1500","180","612/00/148&2008/04","2009-04-04","30","","","","","","","4","4","17","","","","","","","","","","6","5","0"
"761.","88","Државни Универзитет у Новом Пазару","Департман за економске науке","Државни факултет","870","Економија (MAС)","Мастер економиста","Друштвено-хуманистичке науке","Мастер академске","90000","750","60","612-00-00538/2015-06","2015-02-12","","10","0","0","0","","","11","0","0","0","","","0","0","0","0","","","14","",""
"762.","95","Државни Универзитет у Новом Пазару","Департман за филолошке науке","Државни факултет","871","Српска књижевност и језик (МАС)","Мастер филолог","Друштвено-хуманистичке науке","Мастер академске","90000","750","60","612-00-180/2009-04","2009-12-25","","5","","","","","","10","","","","","","0","","","","","","34","",""
"763.","94","Државни Универзитет у Новом Пазару","Департман за математичке науке","Државни факултет","872","Математика (МАС)","Мастер математичар","Природно-математичке науке","Мастер академске","90000","750","60","612-00-00240/2013-04","2013-03-29","","5","","","","","","5","","","","","","0","","","","","","14","",""
"764.","94","Државни Универзитет у Новом Пазару","Департман за математичке науке","Државни факултет","874","Математика-физика (МАС)","Мастер професор математике и физике","Природно-математичке науке","Мастер академске","90000","750","60","612-00-745/2009-04","2010-12-24","","5","","","","","","0","","","","","","0","","","","","","3","",""
"765.","94","Државни Универзитет у Новом Пазару","Департман за математичке науке","Државни факултет","875","Математика (OAС)","Дипломирани математичар","Природно-математичке науке","Основне академске","50000","625","240","612-00-00242/2013-04","2013-03-29","75","50","30","20","19","","","31","17","11","17","","","1","2","0","1","","","5","72","32"
"766.","90","Државни Универзитет у Новом Пазару","Департман за техничке науке","Државни факултет","876","Рачунарска техника (МАС)","Мастер инжењер електротехнике и рачунарства","Техничко-технолошке науке","Мастер академске","90000","750","60","612-00-00243/2013-04","2013-03-22","","5","0","0","0","","","0","0","0","0","","","0","0","0","0","","","6","",""
"767.","90","Државни Универзитет у Новом Пазару","Департман за техничке науке","Државни факултет","878","Грађевинарство (МАС)","Мастер инжењер грађевинарства","Техничко-технолошке науке","Мастер академске","90000","750","60","612-00-00305/2015-04","2015-03-20","","1","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","",""
"768.","93","Државни Универзитет у Новом Пазару","Департман за биомедицинске науке","Државни факултет","880","Биологија (МАС)","Мастер биолог","Медицинске науке","Мастер академске","90000","750","60","612-00-01121/2014-04","2014-11-28","","5","","","","","","5","","","","","","0","","","","","","9","",""
"769.","93","Државни Универзитет у Новом Пазару","Департман за биомедицинске науке","Државни факултет","881","Рехабилитација (МАС)","Мастер терапеут","Медицинске науке","Мастер академске","90000","750","60","612-00-02009/2014-04","2014-12-12","","5","","","","","","5","","","","","","0","","","","","","0","",""
"770.","93","Државни Универзитет у Новом Пазару","Департман за биомедицинске науке","Државни факултет","883","Спорт и физичко васпитање (МАС)","Мастер професор физичког васпитања и кинезитерапије","Медицинске науке","Мастер академске","90000","750","60","612-00-00174/2013-04","2013-04-05","","5","","","","","","6","","","","","","0","","","","","","11","",""
"771.","96","Државни Универзитет у Новом Пазару","Департман за мултидисциплинарне науке","Државни факултет","1854","Образовање професора стручних предмета (МАС)","Мастер професор стручних предмета","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","90000","750","60","612-00-01065/2012-04","2012-10-26","","0","0","0","0","","","15","0","0","0","","","0","0","0","0","","","0","",""
"772.","60","Универзитет у Новом Саду","Економски факултет, Суботица","Државни факултет","2307","Међународна и европска економија и бизнис (240 ЕСПБ)","Дипломирани економиста","Друштвено-хуманистичке науке","Основне академске","96000","1900","240","612-00-01390/2017-06","2018-01-18","90","61","","","","","","","","","","","","","","","","","","0","50","0"
"773.","31","Универзитет у Београду","Факултет ветеринарске медицине","Државни факултет","2246","Интегрисане академске студије-ветеринарска медицина","Доктор ветеринарске медицине","Медицинске науке","Интегр. академске","120000","2500","360","612-00-00564/2014-04","2014-10-24","156","152","119","77","91","35","115","17","99","153","145","110","81","","","","","","","66","211","1"
"774.","31","Универзитет у Београду","Факултет ветеринарске медицине","Државни факултет","893","Специјалистичке академске студије-ветеринарска медицина","Специјалиста доктор ветеринарске медицине специјалиста","Медицинске науке","Спец. академске","120000","2500","60","612-00-00564/2014-04","2014-10-24","40","","","","","","","71","","","","","","1","","","","","","33","30","9"
"775.","31","Универзитет у Београду","Факултет ветеринарске медицине","Државни факултет","894","Докторске академске студије-ветеринарска медицина","Доктор медицинских наука ветеринарска медицина","Медицинске науке","Докторске академске","180000","3000","180","612-00-00564/2014-04","2014-10-24","20","5","5","5","","","","15","9","59","","","","","","","","","","14","14","10"
"776.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","913","Драматургија","Дипломирани драмски и аудиовизуелни уметник","Уметност","Основне академске","220000","3726","240","612-00-1444/2008-04","2009-05-29","0","","","8","11","","","","","0","0","","","","","0","0","","","8","0","0"
"777.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","914","Менаџмент и продукција, позоришта, радија и културе","Дипломирани менаџер","Друштвено-хуманистичке науке","Основне академске","220000","3726","240","612-00-1444/2008-04","2010-07-02","0","","","14","15","","","","","0","0","","","","","0","0","","","16","0","0"
"778.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","915","Филмска и телевизијска режија","Дипломирани драмски и аудиовизуелни уметник","Уметност","Основне академске","220000","3726","240","612-00-1444/2008-04","2010-05-14","0","","","7","3","","","","","1","1","","","","","0","0","","","3","0","0"
"779.","54","Универзитет у Нишу","Машински факултет","Државни факултет","916","Производно-информационе технологије","Мастер инжењер машинства","Техничко-технолошке науке","Мастер академске","45000","2000","60","612-00-02501/2013-04","2014-02-14","24","34","","","","","","1","","","","","","0","","","","","","9","14","5"
"780.","54","Универзитет у Нишу","Машински факултет","Државни факултет","917","Енергетика и процесна техника","Мастер инжењер машинства","Техничко-технолошке науке","Мастер академске","45000","2000","60","612-00-02501/2013-04","2014-03-07","24","22","","","","","","10","","","","","","0","","","","","","10","11","7"
"781.","54","Универзитет у Нишу","Машински факултет","Државни факултет","918","Машинске конструкције, развој и инжењеринг","Мастер инжењер машинства","Техничко-технолошке науке","Мастер академске","45000","2000","60","612-00-02501/2013-04","2014-03-07","24","16","","","","","","5","","","","","","0","","","","","","7","11","11"
"782.","54","Универзитет у Нишу","Машински факултет","Државни факултет","919","Мехатроника и управљање","Мастер инжењер машинства","Техничко-технолошке науке","Мастер академске","45000","2000","60","612-00-02501/2013-04","2014-03-07","24","28","","","","","","5","","","","","","0","","","","","","4","19","0"
"783.","54","Универзитет у Нишу","Машински факултет","Државни факултет","920","Саобраћајно машинство, транспорт и логистика","Мастер инжењер машинства","Техничко-технолошке науке","Мастер академске","45000","2000","60","612-00-02501/2013-04","2014-03-07","24","34","","","","","","7","","","","","","0","","","","","","5","19","0"
"784.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","2342","Урбано инжењрство МАС","Мастер инжењер урбанизма и регионалног развоја","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","80000","1800","60","612-00-00899/2017-06","2018-02-09","16","0","","","","","","1","","","","","","","","","","","","0","0","0"
"785.","50","Универзитет у Нишу","Факултет спорта и физичког васпитања","Државни факултет","930","Докторске академске студије","Доктор наука физичко васпитање, спорт и кинезитерапија","Друштвено-хуманистичке науке","Докторске академске","120000","2000","180","","","","2","3","3","","","","6","4","4","","","","","","","","","","10","",""
"786.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","931","Вајарство","Дипломирани ликовни уметник","Уметност","Основне академске","100000","3000","240","612-00-02317/2014-04","2016-02-12","4","1","2","1","5","","","0","1","0","0","","","0","0","0","0","","","6","0","1"
"787.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","951","Сликарство","Дипломирани ликовни уметник","Уметност","Основне академске","100000","3000","240","612-00-02317/2014-04","2016-02-12","6","3","3","2","4","","","2","1","0","2","","","0","0","0","0","","","4","4","1"
"788.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","933","Филмска и телевизијска продукција","Дипломирани драмски и аудиовизуелни уметник","Уметност","Основне академске","220000","3726","240","612-00-1444/2008-04","2010-04-30","0","","","9","14","","","","","0","0","","","","","0","0","","","8","0","0"
"789.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","934","Камера","Дипломирани драмски и аудиовизуелни уметник","Уметност","Основне академске","220000","3726","240","612-00-1444/2008-04","2010-10-22","0","","","4","6","","","","","0","0","","","","","0","0","","","8","0","0"
"790.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","935","Монтажа","Дипломирани драмски и аудиовизуелни уметник","Уметност","Основне академске","220000","3726","240","612-00-1444/2008-04","2010-05-14","0","","","4","6","","","","","1","2","","","","","0","0","","","9","0","0"
"791.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","936","Снимање и дизајн звука","Дипломирани драмски и аудиовизуелни уметник","Уметност","Основне академске","220000","3726","240","612-00-1444/2008-04","2009-06-26","0","","","9","8","","","","","0","0","","","","","0","0","","","7","0","0"
"792.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","937","Графички дизајн","Дипломирани дизајнер","Уметност","Основне академске","100000","3000","240","612-00-00900/2017-06","2017-05-26","6","3","6","2","4","","","3","2","1","0","","","0","0","0","0","","","4","9","0"
"793.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","950","Теорија драмских уметности и медија","Мастер теоретичар уметности","Друштвено-хуманистичке науке","Мастер академске","180000","3000","60","612-00-00750/2015-06","2016-06-17","12","3","","","","","","1","","","","","","0","","","","","","2","2","2"
"794.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","952","Докторске студије - драмске и аудиовизуелне уметности","Доктор уметности драмске и аудиовизуелне уметности","Уметност","Докторске академске","160000","2650","180","612-00-00750/2015-06","2016-07-01","20","6","2","9","","","","2","4","15","","","","0","0","0","","","","3","11","0"
"795.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","953","Графика","Дипломирани ликовни уметник","Уметност","Основне академске","100000","3000","240","612-00-02317/2014-04","2016-02-12","4","1","2","3","4","","","0","0","0","1","","","0","0","0","0","","","3","1","1"
"796.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","954","Музичка педагогија","Дипломирани теоретичар уметности","Друштвено-хуманистичке науке","Основне академске","100000","3000","240","612-00-224/2009-04","2013-12-27","12","6","1","9","11","","","3","1","0","19","","","0","0","0","0","","","10","4","1"
"797.","156","Универзитет у Новом Саду","Ректорат","Државни факултет","955","Предузетништво","Мастер предузетништва","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","105000","1","60","612-00-1222/2009-04","2012-10-26","30","0","","","","","","17","","","","","","0","","","","","","3","0","0"
"798.","156","Универзитет у Новом Саду","Ректорат","Државни факултет","956","Професор стручних предмета","Мастер професор стручних предмета","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","66000","3","60","612-00-01214/2012-04","2012-10-26","50","0","","","","","","0","","","","","","0","","","","","","2","0","0"
"799.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","957","Клавир","Дипломирани музички уметник","Уметност","Основне академске","100000","3000","240","612-00-908/2008-04","2010-07-02","2","0","0","0","3","","","0","0","0","1","","","0","0","0","0","","","2","0","0"
"800.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","958","Менаџмент културе и медија","Доктор наука – уметност и медији","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Докторске академске","160000","2650","180","612-00-1444/2008-04","2010-10-22","6","1","1","4","","","","4","7","18","","","","1","1","0","","","","4","9","0"
"801.","84","Универзитет уметности у Београду","Факултет драмских уметности","Државни факултет","959","Теорија драмских уметности, медија и културе","Доктор наука науке о уметностима","Друштвено-хуманистичке науке","Докторске академске","160000","2650","180","612-00-1444/2008-04","2010-10-29","8","1","0","2","","","","7","7","28","","","","1","0","0","","","","2","6","4"
"802.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","960","Флаута","Дипломирани музички уметник","Уметност","Основне академске","100000","3000","240","612-00-908/2008-04","2010-07-02","1","","","","","","","","","","","","","","","","","","","3","0","0"
"803.","156","Универзитет у Новом Саду","Ректорат","Државни факултет","961","Спортска медицина са физикотерапијом","Мастер спортске медицине са физикотерапијом","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","66000","2300","60","612-00-1222/2009-04","2012-10-26","20","0","","","","","","24","","","","","","1","","","","","","10","3","1"
"804.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","962","Кларинет","Дипломирани музички уметник","Уметност","Основне академске","100000","3000","240","612-00-224/2009-04","2013-12-27","1","","","","","","","","","","","","","","","","","","","1","0","0"
"805.","156","Универзитет у Новом Саду","Ректорат","Државни факултет","963","Менаџмент","Мастер менаџер","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","66000","2300","60","612-00-1222/2009-04","2011-07-08","35","0","","","","","","2","","","","","","0","","","","","","0","0","0"
"806.","156","Универзитет у Новом Саду","Ректорат","Државни факултет","964","Европске студије","Мастер европских студија","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","80000","2300","60","612-00-00704/2016-06","2016-07-15","25","2","","","","","","14","","","","","","0","","","","","","3","0","0"
"807.","8","Универзитет у Београду","Филолошки факултет","Државни факултет","1899","Конференцијско, стручно и аудиовизуелно превођење","Мастер филолог","Друштвено-хуманистичке науке","Мастер академске","195000","2500","120","612-00-01157/2013-04","2015-03-06","30","0","0","0","0","0","0","12","4","0","0","0","0","0","0","0","0","0","0","0","0","12"
"808.","156","Универзитет у Новом Саду","Ректорат","Државни факултет","967","Омладински рад у заједници","Мастер омладински радник у заједници","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","127000","3","120","612-00-01036/2011-04","2013-05-10","25","0","0","","","","","0","0","","","","","0","0","","","","","2","0","0"
"809.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","968","Труба","Дипломирани музички уметник","Уметност","Основне академске","100000","3000","240","612-00-224/2009-04","2013-12-27","1","0","0","0","0","","","0","0","0","1","","","0","0","0","0","","","1","0","0"
"810.","72","Универзитет у Новом Саду","Педагошки факултет, Сомбор","Државни факултет","971","Библиотекар","Библиотекар","Друштвено-хуманистичке науке","Основне академске","50000","1000","180","","","","0","8","7","","","","0","0","1","","","","0","0","0","","","","5","",""
"811.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","976","Сликарство","Мастер ликовни уметник","Уметност","Мастер академске","120000","3000","60","612-00-02317/2014-04","2016-02-12","4","2","2","","","","","1","0","","","","","0","0","","","","","3","3","0"
"812.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","978","Вајарство","Мастер ликовни уметник","Уметност","Мастер академске","120000","3000","60","612-00-02317/2014-04","2016-02-12","4","2","2","","","","","0","1","","","","","0","0","","","","","1","2","0"
"813.","19","Универзитет у Београду","Физички факултет","Државни факултет","981","Докторске академске студије метеорологије","Доктор наука метеоролошке науке","Природно-математичке науке","Докторске академске","100000","4000","180","612-00-02276/2014/04","2015-04-17","10","2","0","0","","","","2","2","2","","","","0","0","0","","","","1","1","0"
"814.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","983","Графика","Мастер ликовни уметник","Уметност","Мастер академске","120000","3000","60","612-00-02317/2014-04","2016-02-12","4","2","1","","","","","0","0","","","","","0","0","","","","","1","2","0"
"815.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","987","Графички дизајн","Мастер дизајнер","Уметност","Мастер академске","120000","3000","60","612-00-00040/4/2018-03","2018-09-28","6","2","2","","","","","0","2","","","","","0","0","","","","","1","2","0"
"816.","19","Универзитет у Београду","Физички факултет","Државни факултет","988","Основне академске студије  метеорологије","Дипломирани метеоролог","Природно-математичке науке","Основне академске","60000","2.65","240","612-00-02276/2014-04","2015-02-06","40","11","4","3","8","","","7","10","31","9","","","0","0","0","0","","","3","70","0"
"817.","43","Универзитет у Крагујевцу","Филолошки факултет","Државни факултет","1801","Музичка теорија и педагогија","Дипломирани теоретичар уметности","Друштвено-хуманистичке науке","Основне академске","80000","800","240","54/2016-06","2016-09-23","20","11","6","9","18","","","5","8","1","10","","","0","0","0","0","","","3","11","1"
"818.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","990","Виолина","Мастер музички уметник","Уметност","Мастер академске","120000","3000","60","612-00-908/2008-04","2011-05-27","0","","","","","","","","","","","","","","","","","","","0","0","0"
"819.","19","Универзитет у Београду","Физички факултет","Државни факултет","991","Основне академске студије физике - општа физика","Физичар","Природно-математичке науке","Основне академске","60000","2650","180","612-00-00877/2016-06","2016-06-24","0","0","0","2","","","","0","1","27","","","","0","0","0","","","","6","0","0"
"820.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","993","Флаута","Мастер музички уметник","Уметност","Мастер академске","120000","3000","60","612-00-908/2008-04","2010-09-17","0","","","","","","","","","","","","","","","","","","","0","0","0"
"821.","19","Универзитет у Београду","Физички факултет","Државни факултет","994","Основне академске студије - Теоријска и експериментална физика","Дипломирани физичар","Природно-математичке науке","Основне академске","60000","2650","240","612-00-02276/2014-04","2015-03-06","50","43","8","19","21","","","26","9","19","25","","","0","0","0","0","","","13","70","6"
"822.","19","Универзитет у Београду","Физички факултет","Државни факултет","995","Основне академске студије -Примењена и компјутерска физика","Дипломирани физичар","Природно-математичке науке","Основне академске","60000","2650","240","612-00-02276/2014-04","2015-03-06","50","22","4","11","17","","","20","18","24","32","","","0","0","0","0","","","3","70","6"
"823.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","996","Глума","Мастер драмски и аудиовизуелни уметник","Уметност","Мастер академске","120000","3000","60","612-00-02317/2014-04","2015-10-23","8","4","","","","","","1","","","","","","0","","","","","","4","8","0"
"824.","19","Универзитет у Београду","Физички факултет","Државни факултет","997","Мастер академске  студије- Општа физика","Мастер физичар","Природно-математичке науке","Мастер академске","66000","3000","120","612-00-00877/2016-06","2016-06-24","20","5","16","","","","","2","6","","","","","0","0","","","","","9","5","0"
"825.","78","Универзитет у Приштини","Факултет уметности, Звечан","Државни факултет","998","Глума","Дипломирани драмски и аудиовизуелни уметник","Уметност","Основне академске","100000","3000","240","612-00-02317/2014-04","2015-10-23","8","4","8","9","9","","","4","0","0","1","","","0","0","0","0","","","11","17","0"
"826.","19","Универзитет у Београду","Физички факултет","Државни факултет","999","Мастер академске студије -Теоријска и експериментална физика","Мастер физичар","Природно-математичке науке","Мастер академске","66000","3000","60","612-00-02276/2014/04","2015-03-06","20","11","","","","","","2","","","","","","0","","","","","","9","11","1"
"827.","19","Универзитет у Београду","Физички факултет","Државни факултет","1000","Мастер академске студије - Примењена и компјутерска физика","Мастер физичар","Природно-математичке науке","Мастер академске","66000","3000","60","612-00-02276/2014/04","2015-03-20","20","5","","","","","","2","","","","","","0","","","","","","5","4","1"
"828.","19","Универзитет у Београду","Физички факултет","Државни факултет","1001","Мастер академске студије - Метеорологија","Мастер метеоролог","Природно-математичке науке","Мастер академске","66000","3000","60","612-00-02276/2014/04","2015-02-06","20","4","","","","","","0","","","","","","0","","","","","","3","4","0"
"829.","5","Универзитет у Београду","Електротехнички факултет","Државни факултет","1009","Електротехника и рачунарство, основне академске студије","Дипломирани инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне академске","108000","2000","240","612-00-00409/2014-04","2014-11-12","540","424","345","363","359","","","542","370","253","254","","","1","0","0","0","","","358","1205","4"
"830.","5","Универзитет у Београду","Електротехнички факултет","Државни факултет","1010","Софтверско инжењерство, основне академске студије","Дипломирани инжењер софтвера","Техничко-технолошке науке","Основне академске","243500","3000","240","612-00-01120/2017-06","2017-05-19","180","36","36","24","29","","","194","180","124","175","","","1","1","3","1","","","71","1205","4"
"831.","5","Универзитет у Београду","Електротехнички факултет","Државни факултет","1011","Електротехника и рачунарство, мастер академске студије","Мастер инжењер електротехнике и рачунарства","Техничко-технолошке науке","Мастер академске","147000","2500","60","612-00-00501/2013-04","2013-04-12","500","355","","","","","","444","","","","","","1","","","","","","304","423","12"
"832.","5","Универзитет у Београду","Електротехнички факултет","Државни факултет","1015","Електротехника и рачунарство,  докторске академске студије","Доктор наука електротехника и рачунарство","Техничко-технолошке науке","Докторске академске","259200","4000","180","612-00-00501/2013-04","2013-04-12","100","30","15","15","","","","40","58","163","","","","2","2","7","","","","15","41","2"
"833.","41","Универзитет у Крагујевцу","Факултет педагошких наука, Јагодина","Државни факултет","1036","Дипломирани учитељ","Дипломирани учитељ","Друштвено-хуманистичке науке","Основне академске","78000","1500","240","612-00-02691/2013-04","2014-07-04","90","60","71","81","82","","","14","13","9","4","","","","","","","","","61","67","3"
"834.","41","Универзитет у Крагујевцу","Факултет педагошких наука, Јагодина","Државни факултет","1038","Дипломирани васпитач у предшколским установама","Дипломирани васпитач","Друштвено-хуманистичке науке","Основне академске","78000","1500","240","612-00-02691/2013-04","2014-07-04","90","45","54","62","61","","","32","24","27","12","","","","","","","","","40","81","2"
"835.","41","Универзитет у Крагујевцу","Факултет педагошких наука, Јагодина","Државни факултет","1039","Васпитач у домовима","Васпитач","Друштвено-хуманистичке науке","Основне академске","78000","1500","180","612-00-02691/2013-04","2014-07-04","30","15","18","21","","","","7","7","8","","","","","","","","","","14","14","3"
"836.","41","Универзитет у Крагујевцу","Факултет педагошких наука, Јагодина","Државни факултет","1040","Мастер учитељ","Мастер учитељ","Друштвено-хуманистичке науке","Мастер академске","105000","2000","60","612-00-02691/2013-04","2014-07-04","75","15","","","","","","43","","","","","","","","","","","","35","46","14"
"837.","41","Универзитет у Крагујевцу","Факултет педагошких наука, Јагодина","Државни факултет","1041","Мастер васпитач у предшколским установама","Мастер васпитач","Друштвено-хуманистичке науке","Мастер академске","105000","2000","60","612-00-02691/2013-04","2014-07-04","50","10","","","","","","40","","","","","","","","","","","","16","35","47"
"838.","41","Универзитет у Крагујевцу","Факултет педагошких наука, Јагодина","Државни факултет","1042","Мастер васпитач у домовима","Мастер васпитач","Друштвено-хуманистичке науке","Мастер академске","52500","1000","120","612-00-02691/2013-04","2014-07-04","15","5","1","","","","","5","0","","","","","","","","","","","9","9","1"
"839.","63","Универзитет у Новом Саду","Филозофски факултет","Државни факултет","1046","Српска филологија: Српски језик и књижевност","Мастер професор језика и књижевности (србиста)","Друштвено-хуманистичке науке","Мастер академске","65000","2000","60","612-00-00887/2013-04","2014-05-23","55","50","","","","","","52","","","","","","","","","","","","40","62","0"
"840.","63","Универзитет у Новом Саду","Филозофски факултет","Државни факултет","1048","Српска књижевност и језик","Мастер професор књижевности и језика (србиста)","Друштвено-хуманистичке науке","Мастер академске","65000","2000","60","612-00-00887/2013-04","2014-05-23","50","56","","","","","","38","","","","","","","","","","","","39","73","0"
"841.","63","Универзитет у Новом Саду","Филозофски факултет","Државни факултет","1049","Компаративна књижевност са теоријом књижевности","Мастер професор књижевности и језика - компаратиста","Друштвено-хуманистичке науке","Мастер академске","65000","2000","60","612-00-00887/2013-04","2014-09-26","20","16","","","","","","29","","","","","","","","","","","","5","19","3"
"842.","63","Универзитет у Новом Саду","Филозофски факултет","Државни факултет","1050","Енглески језик и књижевност","Мастер филолог - англиста","Друштвено-хуманистичке науке","Мастер академске","96000","2000","60","612-00-00887/2013-04","2014-05-23","60","62","","","","","","63","","","","","","1","","","","","","28","37","1"
